store_id,franchise_name,owner_name,address,city,state,zip_code,opening_date,annual_revenue,employee_count,store_size_sqft,rating,drive_thru,delivery_available,last_inspection_score
FR001,Burger Palace,Thomas Mitchell,1234 Main Street,Phoenix,AZ,85001,2018-05-12,2850000,24,3200,4.3,Yes,Yes,96
FR002,Coffee Corner,Jennifer Davis,567 Oak Avenue,Dallas,TX,75201,2019-08-22,1450000,12,1800,4.6,No,Yes,98
FR003,Pizza Express,Robert Garcia,890 Pine Road,Chicago,IL,60601,2020-03-15,3200000,28,4500,4.1,No,Yes,92
FR004,Taco Fiesta,Maria Rodriguez,234 Elm Street,Los Angeles,CA,90001,2017-11-08,2100000,18,2600,4.4,Yes,Yes,94
FR005,Sandwich Hub,David Kim,456 Market Street,Seattle,WA,98101,2021-06-30,1750000,15,2200,4.5,No,No,97
FR006,Burger Palace,Sarah Johnson,789 Broadway,New York,NY,10001,2019-02-14,4100000,32,3800,4.2,No,Yes,95
FR007,Coffee Corner,Michael Brown,321 First Avenue,San Francisco,CA,94101,2020-09-10,1680000,14,1900,4.7,Yes,Yes,99
FR008,Pizza Express,Amanda Wilson,654 Second Street,Boston,MA,02101,2018-07-25,2900000,26,4200,4.0,No,Yes,91
FR009,Chicken Spot,James Martinez,987 Third Avenue,Atlanta,GA,30301,2021-01-18,2450000,22,3000,4.3,Yes,Yes,93
FR010,Burger Palace,Linda Thompson,135 Fourth Street,Houston,TX,77001,2020-04-05,3100000,27,3400,4.4,Yes,Yes,96
FR011,Donut Delights,Christopher Lee,246 Fifth Avenue,Portland,OR,97201,2019-12-01,980000,8,1400,4.8,No,No,100
FR012,Taco Fiesta,Patricia Anderson,357 Sixth Street,Miami,FL,33101,2018-10-20,2350000,20,2800,4.2,Yes,Yes,92
FR013,Coffee Corner,William Taylor,468 Seventh Avenue,Denver,CO,80201,2021-03-22,1520000,13,1850,4.5,No,Yes,97
FR014,Pizza Express,Nancy White,579 Eighth Street,Detroit,MI,48201,2019-05-17,2650000,24,4000,3.9,No,Yes,90
FR015,Sandwich Hub,Daniel Harris,680 Ninth Avenue,Philadelphia,PA,19101,2020-11-28,1890000,16,2400,4.6,No,Yes,98
FR016,Chicken Spot,Karen Clark,791 Tenth Street,San Diego,CA,92101,2018-06-09,2780000,25,3200,4.4,Yes,Yes,95
FR017,Burger Palace,Joseph Lewis,802 Center Boulevard,Minneapolis,MN,55401,2021-08-14,2200000,21,3100,4.1,Yes,No,94
FR018,Donut Delights,Betty Walker,913 Lake Drive,Tampa,FL,33601,2020-02-25,1120000,9,1500,4.7,No,Yes,99
FR019,Coffee Corner,Steven Hall,024 Park Avenue,Nashville,TN,37201,2019-09-30,1390000,11,1750,4.6,No,Yes,98
FR020,Taco Fiesta,Margaret Young,135 River Road,Austin,TX,78701,2021-05-07,1950000,17,2500,4.3,Yes,Yes,93